trial,pop_size,generations,elite_ratio,mutation_rate,ls_iterations,fitness,csr_pct,time_s,is_pareto
33,140,270,0.2,0.35,15,204071.00000000198,73.68421052631578,25.355265140533447,False
34,260,160,0.1,0.1,50,226050.13983488135,73.68421052631578,17.490280389785767,False
35,220,50,0.2,0.2,55,347189.5989974939,63.1578947368421,11.50054669380188,False
36,90,290,0.15000000000000002,0.6,20,69949.87365472499,84.21052631578947,19.950584650039673,False
37,130,90,0.3,0.55,25,784749.0944272453,63.1578947368421,12.598717212677002,False
38,220,340,0.2,0.35,25,207131.8351024621,63.1578947368421,36.365922689437866,False
39,70,370,0.3,0.4,35,313311.19733156415,73.68421052631578,13.516047954559326,False
40,140,310,0.3,0.55,65,277527.5594465592,57.89473684210527,37.23845362663269,False
41,210,80,0.05,0.55,55,114795.21620227036,84.21052631578947,19.916068077087402,False
42,50,80,0.2,0.1,20,338458.75003685703,68.42105263157895,3.8046250343322754,False
43,190,290,0.2,0.2,60,138982.98072704565,57.89473684210527,22.681333303451538,False
44,110,160,0.25,0.45000000000000007,70,497025.48466755135,57.89473684210527,13.668839454650879,False
45,220,250,0.05,0.30000000000000004,25,469152.5000000001,73.68421052631578,28.663363218307495,False
46,110,400,0.15000000000000002,0.55,55,167131.3108139675,57.89473684210527,36.499959230422974,False
47,250,230,0.2,0.35,20,118192.459818225,73.68421052631578,34.43946361541748,False
48,230,150,0.05,0.45000000000000007,20,271666.7746787836,52.63157894736842,35.126370429992676,False
49,290,390,0.3,0.30000000000000004,10,229401.07411469743,73.68421052631578,44.30037474632263,False
50,290,200,0.3,0.6,70,112996.27657338127,63.1578947368421,49.337018728256226,False
51,250,400,0.2,0.55,30,254474.25379625527,84.21052631578947,63.5577929019928,False
52,140,270,0.2,0.35,35,485715.653561301,57.89473684210527,20.411487340927124,False
53,50,390,0.25,0.55,20,338496.148164529,73.68421052631578,20.391669511795044,False
54,160,160,0.3,0.4,60,348161.7722246793,68.42105263157895,17.544578075408936,False
55,130,110,0.2,0.30000000000000004,25,414495.63525214756,57.89473684210527,11.255927801132202,False
56,250,380,0.1,0.15000000000000002,60,138026.8112663728,68.42105263157895,31.86458730697632,False
57,70,230,0.25,0.4,35,828002.3221869249,47.368421052631575,10.301983833312988,False
58,190,250,0.05,0.4,55,809187.1624882485,57.89473684210527,30.074238538742065,False
59,50,100,0.3,0.1,30,62174.322202565236,84.21052631578947,3.895343542098999,True
60,80,230,0.15000000000000002,0.55,15,767565.4053907897,47.368421052631575,18.872426986694336,False
61,140,270,0.3,0.30000000000000004,15,335398.4251068851,52.63157894736842,17.232609033584595,False
62,240,390,0.3,0.4,10,179964.1715261111,57.89473684210527,45.111674547195435,False
63,200,300,0.1,0.35,60,67719.13983488134,73.68421052631578,33.71419715881348,False
64,140,270,0.25,0.35,65,98969.24067521749,78.94736842105263,24.620566368103027,False
65,290,320,0.05,0.6,70,242542.7149647231,57.89473684210527,85.74977397918701,False
66,290,200,0.3,0.55,70,136563.738390093,73.68421052631578,39.60678958892822,False
67,90,290,0.15000000000000002,0.6,20,335043.8110394102,68.42105263157895,19.802172899246216,False
68,290,390,0.3,0.30000000000000004,15,100805.48964316759,73.68421052631578,44.35819745063782,False
69,140,300,0.25,0.4,15,369178.7913165267,63.1578947368421,21.59810781478882,False
70,220,50,0.2,0.2,35,487147.82891275233,68.42105263157895,12.777516603469849,False
71,50,70,0.3,0.1,60,821490.7778527704,57.89473684210527,3.69547176361084,False
72,170,390,0.1,0.1,70,198245.99987417166,63.1578947368421,24.241631031036377,False
73,290,120,0.3,0.5,10,353698.55189444206,73.68421052631578,26.98252773284912,False
74,230,290,0.3,0.25,15,227881.481350435,68.42105263157895,30.1908597946167,False
75,260,160,0.1,0.35,50,385419.95274248626,52.63157894736842,27.950323343276978,False
76,110,190,0.3,0.1,15,295331.3640128765,63.1578947368421,8.600982427597046,False
77,220,160,0.2,0.2,55,82124.76743328918,78.94736842105263,18.534072637557983,False
78,180,230,0.15000000000000002,0.35,65,144204.00000000003,78.94736842105263,27.141939401626587,False
79,210,200,0.3,0.6,55,152611.58122634824,73.68421052631578,33.73605704307556,False
80,90,340,0.2,0.6,25,845272.347373012,36.84210526315789,28.373101949691772,False
81,210,80,0.25,0.55,55,149233.3659885006,78.94736842105263,18.8754141330719,False
82,230,330,0.2,0.55,15,343322.13821318024,63.1578947368421,48.930968284606934,False
83,120,100,0.15000000000000002,0.55,35,550282.6863482241,52.63157894736842,11.99394416809082,False
84,80,340,0.2,0.4,15,452872.91309155326,57.89473684210527,19.113918781280518,False
85,140,300,0.25,0.55,65,322455.27679492865,78.94736842105263,27.15021324157715,False
86,200,120,0.2,0.35,10,452640.94417715597,63.1578947368421,17.12241530418396,False
87,280,60,0.05,0.35,10,401737.60051390255,68.42105263157895,17.816133737564087,False
88,130,230,0.15000000000000002,0.35,80,485530.50000000116,63.1578947368421,17.697134971618652,False
89,130,340,0.2,0.25,45,856991.2361049682,68.42105263157895,24.84618353843689,False
90,150,120,0.05,0.25,80,129496.24180021143,68.42105263157895,14.119408130645752,False
91,200,160,0.2,0.4,10,707721.8840483561,63.1578947368421,20.743767976760864,False
92,290,390,0.05,0.6,20,337795.2243107776,57.89473684210527,86.65091037750244,False
93,260,340,0.2,0.35,50,333744.8927465723,57.89473684210527,46.62087416648865,False
94,260,170,0.2,0.15000000000000002,45,613969.0691330975,63.1578947368421,23.03755283355713,False
95,250,120,0.2,0.55,15,458303.68177797436,73.68421052631578,27.34764075279236,False
96,140,390,0.25,0.1,10,780300.7338165457,47.368421052631575,17.71169924736023,False
97,180,290,0.25,0.6,20,294339.6554371669,63.1578947368421,38.20488405227661,False
98,270,330,0.1,0.35,80,206176.80554535476,57.89473684210527,45.346702098846436,False
99,160,340,0.3,0.15000000000000002,45,179969.47663894683,73.68421052631578,22.156453371047974,False
100,210,120,0.2,0.2,10,593057.5982227148,52.63157894736842,16.914975881576538,False
101,50,260,0.3,0.45000000000000007,15,577296.0236620976,57.89473684210527,9.563681602478027,False
102,50,260,0.2,0.1,30,158576.31662305503,73.68421052631578,6.965528964996338,False
103,160,340,0.3,0.4,45,123936.03814876819,68.42105263157895,29.71825933456421,False
104,210,200,0.3,0.6,55,222529.3336281881,68.42105263157895,30.205854654312134,False
105,160,340,0.3,0.4,65,287661.4366969605,63.1578947368421,33.01527166366577,False
106,250,120,0.2,0.35,10,367978.9179129964,57.89473684210527,20.250062942504883,False
107,230,230,0.05,0.25,80,136053.9612345166,57.89473684210527,29.100072145462036,False
108,170,160,0.3,0.30000000000000004,70,305198.60019652476,73.68421052631578,16.339462518692017,False
109,220,260,0.2,0.1,20,375852.69552440627,63.1578947368421,19.564502716064453,False
110,130,290,0.2,0.5,20,334559.4138768194,63.1578947368421,28.32764744758606,False
111,180,230,0.15000000000000002,0.35,30,119745.49999999991,73.68421052631578,22.78300380706787,False
112,50,260,0.15000000000000002,0.1,15,826249.1003790416,52.63157894736842,7.020345449447632,False
113,260,160,0.25,0.1,55,633210.3476423055,42.10526315789473,17.669045448303223,False
114,260,160,0.2,0.1,55,205062.7333412934,57.89473684210527,18.260505437850952,False
115,70,390,0.25,0.55,55,240231.94567300944,57.89473684210527,18.696386098861694,False
116,90,270,0.2,0.30000000000000004,10,187876.94441987318,68.42105263157895,14.285123109817505,False
117,300,390,0.3,0.30000000000000004,15,301255.7679410847,63.1578947368421,46.96834111213684,False
118,230,290,0.15000000000000002,0.6,20,335034.83672416356,63.1578947368421,50.92317247390747,False
119,120,160,0.3,0.4,70,454106.4495455966,63.1578947368421,13.169480562210083,False
120,260,300,0.1,0.1,30,299730.81161781825,52.63157894736842,28.06273865699768,False
121,220,190,0.1,0.55,70,572925.539225114,36.84210526315789,35.21097111701965,False
122,230,100,0.05,0.25,20,564458.0978721296,52.63157894736842,17.842207670211792,False
123,110,240,0.3,0.25,15,345517.65479876165,73.68421052631578,12.96405577659607,False
124,180,230,0.1,0.35,65,215213.9867256638,73.68421052631578,26.764235019683838,False
125,200,300,0.1,0.1,60,83728.50000000309,63.1578947368421,22.043858766555786,False
126,290,280,0.2,0.35,15,259319.6732198549,52.63157894736842,49.53381276130676,False
127,120,270,0.25,0.35,15,309088.05660687917,36.84210526315789,16.981008052825928,False
128,200,300,0.1,0.35,65,386374.6859059414,68.42105263157895,37.697306394577026,False
